P01023	A2MG_HUMAN	NM_000014
A4Z6T7	A4Z6T7_HUMAN	NM_000015
P11245	ARY2_HUMAN	NM_000015
E5KSD5	E5KSD5_HUMAN	NM_000017
P24752	THIL_HUMAN	NM_000019
A0A024R6A3	A0A024R6A3_HUMAN	NM_000021
P00813	ADA_HUMAN	NM_000022
P07550	ADRB2_HUMAN	NM_000024
A8KAG8	A8KAG8_HUMAN	NM_000025
P13945	ADRB3_HUMAN	NM_000025
X5D8S6	X5D8S6_HUMAN	NM_000026
B0ZBE2	B0ZBE2_HUMAN	NM_000029
B2R5S1	B2R5S1_HUMAN	NM_000029
P01019	ANGT_HUMAN	NM_000029
P21549	SPYA_HUMAN	NM_000030
P13716	HEM2_HUMAN	NM_000031
Q6ZMU0	Q6ZMU0_HUMAN	NM_000031
P33897	ABCD1_HUMAN	NM_000033
A0A024R145	A0A024R145_HUMAN	NM_000035
P05062	ALDOB_HUMAN	NM_000035
A0A024R3E3	A0A024R3E3_HUMAN	NM_000039
P02647	APOA1_HUMAN	NM_000039
A3KPE2	A3KPE2_HUMAN	NM_000040
P02656	APOC3_HUMAN	NM_000040
P02749	APOH_HUMAN	NM_000042
A0A0B4J1T2	A0A0B4J1T2_HUMAN	NM_000044
A0A024RAJ9	A0A024RAJ9_HUMAN	NM_000046
P51690	ARSE_HUMAN	NM_000047
A0A024R3C7	A0A024R3C7_HUMAN	NM_000051
Q13315	ATM_HUMAN	NM_000051
A0A024RDX3	A0A024RDX3_HUMAN	NM_000053
P06276	CHLE_HUMAN	NM_000055
P51587	BRCA2_HUMAN	NM_000059
Q5JP69	Q5JP69_HUMAN	NM_000063
B4DR57	B4DR57_HUMAN	NM_000064
P01024	CO3_HUMAN	NM_000064
V9HWA9	V9HWA9_HUMAN	NM_000064
P07358	CO8B_HUMAN	NM_000066
P00918	CAH2_HUMAN	NM_000067
Q13698	CAC1S_HUMAN	NM_000069
Q9NTF0	Q9NTF0_HUMAN	NM_000071
B0YIY5	B0YIY5_HUMAN	NM_000073
P09693	CD3G_HUMAN	NM_000073
P29965	CD40L_HUMAN	NM_000074
A0A024RBB6	A0A024RBB6_HUMAN	NM_000075
P11802	CDK4_HUMAN	NM_000075
K7PML8	K7PML8_HUMAN	NM_000077
P11597	CETP_HUMAN	NM_000078
Q04844	ACHE_HUMAN	NM_000080
P35523	CLCN1_HUMAN	NM_000083
A8K4H5	A8K4H5_HUMAN	NM_000084
A8K8H0	A8K8H0_HUMAN	NM_000085
A0A024R9X3	A0A024R9X3_HUMAN	NM_000087
P02452	CO1A1_HUMAN	NM_000088
P08123	CO1A2_HUMAN	NM_000089
P02461	CO3A1_HUMAN	NM_000090
Q01955	CO4A3_HUMAN	NM_000091
P53420	CO4A4_HUMAN	NM_000092
A0A024R8E5	A0A024R8E5_HUMAN	NM_000093
P20908	CO5A1_HUMAN	NM_000093
Q02388	CO7A1_HUMAN	NM_000094
Q59F16	Q59F16_HUMAN	NM_000094
P49747	COMP_HUMAN	NM_000095
A5PL27	A5PL27_HUMAN	NM_000096
P00450	CERU_HUMAN	NM_000096
P36551	HEM6_HUMAN	NM_000097
P23786	CPT2_HUMAN	NM_000098
P04080	CYTB_HUMAN	NM_000100
Q76LA1	Q76LA1_HUMAN	NM_000100
B4DT46	B4DT46_HUMAN	NM_000101
P13498	CY24A_HUMAN	NM_000101
P05093	CP17A_HUMAN	NM_000102
Q1HB44	Q1HB44_HUMAN	NM_000102
Q8IYG4	Q8IYG4_HUMAN	NM_000103
Q16678	CP1B1_HUMAN	NM_000104
Q53TK1	Q53TK1_HUMAN	NM_000104
C1ID52	C1ID52_HUMAN	NM_000106
A0A024R713	A0A024R713_HUMAN	NM_000108
Q4G0X0	Q4G0X0_HUMAN	NM_000109
P40879	S26A3_HUMAN	NM_000111
P50443	S26A2_HUMAN	NM_000112
B3KPA1	B3KPA1_HUMAN	NM_000113
O14656	TOR1A_HUMAN	NM_000113
P50402	EMD_HUMAN	NM_000117
Q5T9B9	Q5T9B9_HUMAN	NM_000118
