NM_000014	A2MG_HUMAN	P01023
NM_000015	A4Z6T7_HUMAN	A4Z6T7
NM_000015	ARY2_HUMAN	P11245
NM_000017	E5KSD5_HUMAN	E5KSD5
NM_000019	THIL_HUMAN	P24752
NM_000021	A0A024R6A3_HUMAN	A0A024R6A3
NM_000022	ADA_HUMAN	P00813
NM_000024	ADRB2_HUMAN	P07550
NM_000025	A8KAG8_HUMAN	A8KAG8
NM_000025	ADRB3_HUMAN	P13945
NM_000026	X5D8S6_HUMAN	X5D8S6
NM_000029	B0ZBE2_HUMAN	B0ZBE2
NM_000029	B2R5S1_HUMAN	B2R5S1
NM_000029	ANGT_HUMAN	P01019
NM_000030	SPYA_HUMAN	P21549
NM_000031	HEM2_HUMAN	P13716
NM_000031	Q6ZMU0_HUMAN	Q6ZMU0
NM_000033	ABCD1_HUMAN	P33897
NM_000035	A0A024R145_HUMAN	A0A024R145
NM_000035	ALDOB_HUMAN	P05062
NM_000039	A0A024R3E3_HUMAN	A0A024R3E3
NM_000039	APOA1_HUMAN	P02647
NM_000040	A3KPE2_HUMAN	A3KPE2
NM_000040	APOC3_HUMAN	P02656
NM_000042	APOH_HUMAN	P02749
NM_000044	A0A0B4J1T2_HUMAN	A0A0B4J1T2
NM_000046	A0A024RAJ9_HUMAN	A0A024RAJ9
NM_000047	ARSE_HUMAN	P51690
NM_000051	A0A024R3C7_HUMAN	A0A024R3C7
NM_000051	ATM_HUMAN	Q13315
NM_000053	A0A024RDX3_HUMAN	A0A024RDX3
NM_000055	CHLE_HUMAN	P06276
NM_000059	BRCA2_HUMAN	P51587
NM_000063	Q5JP69_HUMAN	Q5JP69
NM_000064	B4DR57_HUMAN	B4DR57
NM_000064	CO3_HUMAN	P01024
NM_000064	V9HWA9_HUMAN	V9HWA9
NM_000066	CO8B_HUMAN	P07358
NM_000067	CAH2_HUMAN	P00918
NM_000069	CAC1S_HUMAN	Q13698
NM_000071	Q9NTF0_HUMAN	Q9NTF0
NM_000073	B0YIY5_HUMAN	B0YIY5
NM_000073	CD3G_HUMAN	P09693
NM_000074	CD40L_HUMAN	P29965
NM_000075	A0A024RBB6_HUMAN	A0A024RBB6
NM_000075	CDK4_HUMAN	P11802
NM_000077	K7PML8_HUMAN	K7PML8
NM_000078	CETP_HUMAN	P11597
NM_000080	ACHE_HUMAN	Q04844
NM_000083	CLCN1_HUMAN	P35523
NM_000084	A8K4H5_HUMAN	A8K4H5
NM_000085	A8K8H0_HUMAN	A8K8H0
NM_000087	A0A024R9X3_HUMAN	A0A024R9X3
NM_000088	CO1A1_HUMAN	P02452
NM_000089	CO1A2_HUMAN	P08123
NM_000090	CO3A1_HUMAN	P02461
NM_000091	CO4A3_HUMAN	Q01955
NM_000092	CO4A4_HUMAN	P53420
NM_000093	A0A024R8E5_HUMAN	A0A024R8E5
NM_000093	CO5A1_HUMAN	P20908
NM_000094	CO7A1_HUMAN	Q02388
NM_000094	Q59F16_HUMAN	Q59F16
NM_000095	COMP_HUMAN	P49747
NM_000096	A5PL27_HUMAN	A5PL27
NM_000096	CERU_HUMAN	P00450
NM_000097	HEM6_HUMAN	P36551
NM_000098	CPT2_HUMAN	P23786
NM_000100	CYTB_HUMAN	P04080
NM_000100	Q76LA1_HUMAN	Q76LA1
NM_000101	B4DT46_HUMAN	B4DT46
NM_000101	CY24A_HUMAN	P13498
NM_000102	CP17A_HUMAN	P05093
NM_000102	Q1HB44_HUMAN	Q1HB44
NM_000103	Q8IYG4_HUMAN	Q8IYG4
NM_000104	CP1B1_HUMAN	Q16678
NM_000104	Q53TK1_HUMAN	Q53TK1
NM_000106	C1ID52_HUMAN	C1ID52
NM_000108	A0A024R713_HUMAN	A0A024R713
NM_000109	Q4G0X0_HUMAN	Q4G0X0
NM_000111	S26A3_HUMAN	P40879
NM_000112	S26A2_HUMAN	P50443
NM_000113	B3KPA1_HUMAN	B3KPA1
NM_000113	TOR1A_HUMAN	O14656
NM_000117	EMD_HUMAN	P50402
NM_000118	Q5T9B9_HUMAN	Q5T9B9
NM_000121	EPOR_HUMAN	P19235
NM_000122	ERCC3_HUMAN	P19447
NM_000123	ERCC5_HUMAN	P28715
NM_000124	ERCC6_HUMAN	Q03468
NM_000124	Q59FF6_HUMAN	Q59FF6
NM_000127	EXT1_HUMAN	Q16394
NM_000128	FA11_HUMAN	P03951
NM_000129	F13A_HUMAN	P00488
NM_000130	FA5_HUMAN	P12259
NM_000133	FA9_HUMAN	P00740
NM_000134	FABPI_HUMAN	P12104
